,Rank,School,Rating,Win %,Adj Win %,SOS,Offense,Defense,+/-,Adj +/-,AP,Change,Logo Match
86,87,Coastal Carolina (6-6),76.44831750253712,50.0,44.21818181818182,88.0,50.0,104.0,-2.5454545454545454,-6.250769543630199,NR,1,Coastal_Carolina
87,88,Michigan State (5-7),75.89105425134578,41.66666666666667,36.157575757575756,30.0,126.0,82.0,-11.0,-3.421575134360708,NR,3,Michigan_State
88,89,North Texas (6-6),75.8797419265934,50.0,43.3939393939394,109.0,20.0,120.0,-1.9090909090909092,-6.509264673159221,NR,0,North_Texas
89,90,Houston (4-8),75.74455802226227,33.33333333333333,36.733333333333334,29.0,130.0,38.0,-8.916666666666666,-2.7059345536119555,NR,0,Houston
90,91,Kentucky (4-8),75.62949314893682,33.33333333333333,28.096969696969698,5.0,124.0,46.0,-5.454545454545454,2.5051348538164575,NR,3,Kentucky
91,92,Virginia (5-7),75.46212793764107,41.66666666666667,33.68484848484849,18.0,104.0,96.0,-8.545454545454545,-0.9463694602304944,NR,0,Virginia
92,93,App State (5-6),75.05880758799682,45.45454545454545,43.17333333333333,70.0,74.0,118.0,-9.7,-7.402818966626567,NR,0,App_State
93,94,Western Michigan (6-7),74.70720030786586,46.15384615384615,41.855555555555554,98.0,68.0,100.0,-4.916666666666667,-7.11957721633093,NR,-8,Western_Michigan
94,95,UCF (4-8),73.85294465660306,33.33333333333333,25.212121212121215,23.0,55.0,85.0,-1.0909090909090908,4.223455871721459,NR,2,UCF
95,96,New Mexico (5-7),73.60941103105085,41.66666666666667,49.57575757575757,125.0,21.0,127.0,-4.545454545454546,-12.276489475927589,NR,-1,New_Mexico
96,97,Air Force (5-7),72.89215436239958,41.66666666666667,43.987878787878785,96.0,121.0,58.0,-6.090909090909091,-10.494951694607463,NR,-1,Air_Force
97,98,Florida International (4-8),71.22578895642722,33.33333333333333,39.04242424242425,132.0,79.0,48.0,0.9090909090909091,-9.894132031376644,NR,1,Florida_International
98,99,Charlotte (5-7),71.07354132331015,41.66666666666667,41.92727272727273,77.0,93.0,121.0,-12.545454545454545,-11.674968325207493,NR,-1,Charlotte
99,100,Troy (4-8),70.50602996051772,33.33333333333333,35.92727272727272,93.0,76.0,91.0,-4.636363636363637,-8.93107742786594,NR,0,Troy
100,101,Louisiana Tech (5-7),70.33101852068974,41.66666666666667,38.63030303030303,133.0,102.0,21.0,1.0909090909090908,-10.789725006147838,NR,0,Louisiana_Tech
101,102,Oregon State (5-7),70.05476140986913,41.66666666666667,34.509090909090915,76.0,96.0,99.0,-8.272727272727273,-8.59829888251563,NR,0,Oregon_State
